rpm,boost_bar
900,-0.4600432715072801
1000,-0.3705546607409752
1100,-0.2842294409813284
1200,-0.20061861748983834
1300,-0.12020290865023642
1400,-0.04118186156414716
1500,0.0
1600,0.0
1700,0.0010064953190911385
1800,0.013148586790936223
1900,0.02882663985331657
2000,0.04856304719894067
2100,0.0731771893828459
2200,0.10346208903769516
2300,0.1404964588223654
2400,0.18584789807924063
2500,0.24114896522519236
2600,0.3089129067173282
2700,0.3927091890577139
2800,0.4976919599983016
2900,0.6311066849961793
3000,0.8038222284004122
3100,1.0066444873809814
3200,1.0066444873809814
3300,1.0066444873809814
3400,1.0066444873809814
3500,1.0066444873809814
3600,1.0066444873809814
3700,1.0066444873809814
3800,1.0066444873809814
3900,1.0066444873809814
4000,1.0066444873809814
4100,1.0066444873809814
4200,1.0066444873809814
4300,1.0066444873809814
4400,1.0066444873809814
4500,1.0066444873809814
4600,1.0066444873809814
4700,1.0066444873809814
4800,1.0066444873809814
4900,1.0066444873809814
5000,1.0066444873809814
5100,1.0066444873809814
5200,1.0066444873809814
5300,1.0066444873809814
5400,1.0066444873809814
5500,1.0066444873809814
5600,1.0066444873809814
5700,1.0066444873809814
5800,1.0066444873809814
5900,1.0066444873809814
6000,1.0066444873809814
6100,1.0066444873809814
6200,1.0066444873809814
6300,1.0066444873809814
6400,1.0066444873809814
6500,1.0066444873809814
