rpm,boost_bar
1200,-0.5466226671136317
1300,-0.47943836253247574
1400,-0.4141090273115533
1500,-0.3505458900670321
1600,-0.2888690438682294
1700,-0.22926724622355377
1800,-0.17170319337284157
1900,-0.11617672644300103
2000,-0.0632655828641766
2100,-0.011405051872319771
2200,0.0
2300,0.0
2400,0.0
2500,0.0
2600,0.0
2700,0.0
2800,0.0
2900,0.0
3000,0.0
3100,0.0
3200,0.0035527479250845317
3300,0.009253832206440604
3400,0.015735881866858925
3500,0.023054291255008907
3600,0.03127664006525355
3700,0.04038743449404669
3800,0.050539140113613046
3900,0.06191895065429387
4000,0.07462458704404895
4100,0.08874557254498727
4200,0.10447049752799265
4300,0.12193156810463135
4400,0.14112764382343457
4500,0.16243457315825416
4600,0.1864468848723937
4700,0.2137448215873503
4800,0.24509309784769728
4900,0.28125608867840346
5000,0.3235975938801039
5100,0.37344452921994664
5200,0.43290187741656827
5300,0.5052476781205637
5400,0.5941917081950274
5500,0.6952774106463295
5600,0.8062312475204296
5700,0.9151837876240829
5800,1.0185570361025835
5900,1.0764119625091553
6000,1.0764119625091553
6100,1.0764119625091553
6200,1.0764119625091553
6300,1.0764119625091553
6400,1.0764119625091553
6500,1.0764119625091553
6600,1.0764119625091553
6700,1.0764119625091553
6800,1.0764119625091553
6900,1.0764119625091553
7000,1.0764119625091553
7100,1.0764119625091553
7200,1.0764119625091553
7300,1.0764119625091553
7400,1.0764119625091553
7500,1.0764119625091553
7600,1.0764119625091553
7700,1.0764119625091553
7800,1.0764119625091553
7900,1.0764119625091553
8000,1.0764119625091553
8100,1.0764119625091553
8200,1.0764119625091553
8300,1.0764119625091553
8400,1.0764119625091553
8500,1.0764119625091553
8600,1.0764119625091553
8700,1.0764119625091553
8800,1.0764119625091553
8900,1.0764119625091553
9000,1.0764119625091553
9100,1.0764119625091553
9200,1.0764119625091553
9300,1.0764119625091553
9400,1.0764119625091553
9500,1.0764119625091553
9600,1.0764119625091553
9700,1.0764119625091553
9800,1.0764119625091553
9900,1.0764119625091553
10000,1.0764119625091553
